Greitis;1994-06-10;Veiksmo;20th Century FOX;Jan de Bont;S.Bulok;K.Reeves;28000000
Greitis2;1997-06-13;Veiksmo;20th Century FOX;Jan de Bont;S.Bulok;J.Patric;110000000
Kiaulė;2021-07-16;Drama;BlockBox Entertainment;Michael Sarnoski;N.Cage;A.Wolff;38000000
Dviveidis;1997-06-19;Trileris;Paramount Pictures;Džonas Vu;J.Travolta;N.Cage;245000000
Viena kartą Holivude;2019-05-21;Komedija;Sony Pictures;Quentin Tarantino;B.Pitt;L.DiCaprio;374600000
Tamsos Baikeris;2007-02-16;Veiksmo;Sony Pictures;Mark Steven Johnson;N.Cage;E.Mendes;215000000
Airis;2019-11-01;Drama;Netflix;Martin Scorsese;A.Pacino;R.Deniro;8000000;
